id,saleprice
2658,121672.60335420111
2718,173525.52856024407
2414,224924.87550416097
1989,108670.44873878102
625,187382.91171031995
333,92066.55818386414
1327,103157.37468763744
858,156244.92156675924
95,168842.19274015902
1568,160173.02986779457
2482,157575.8004022667
1364,115853.09674171088
2584,146957.31245578756
818,276988.1265125532
2673,146380.37917805935
2089,125594.13554985973
1297,151742.06932554132
790,120929.6730260941
2616,198799.34903333042
720,183264.9874719244
222,165527.1929631791
557,132199.25569554785
1148,186435.78461000623
2766,161154.1706902506
534,179740.30363715932
1452,121719.80189866098
630,140218.98988452367
2648,120561.26476133401
125,164413.81785423643
1904,54844.35548925755
1670,103388.60834053297
756,96962.86208441138
717,192840.13127615498
1032,157055.4348830135
852,221611.5985819825
1731,188328.2411899751
2639,123517.33813709446
2071,69862.78712684826
1267,137919.71401135952
1851,200830.76666003675
567,176199.06773431113
2439,211634.5116334106
1898,151264.7119559733
647,155351.1666379541
2256,216697.7009602855
979,98650.73266547547
1444,222166.31461462038
2485,129462.34826171349
157,130816.34364077396
88,115436.08797088865
2003,103610.93716506635
186,180516.78971092554
1425,247099.92318915357
2695,122228.52461403672
738,105931.5876375816
395,153904.4242935782
1353,159113.86142196908
1878,148068.67397243562
390,156482.04216962183
1456,235825.1128620139
1103,311852.8172269844
1387,120194.48971773748
2070,160862.64352238443
1199,161996.53407239576
2479,185553.92522412515
501,325287.732784809
2362,92535.42771440551
1718,226687.73191869177
2188,103284.33873781694
1483,164112.8502337947
2557,103175.86075963773
437,325327.0862588176
2224,204241.4201136306
1628,170272.3523169909
397,142863.4535085405
587,194096.78403321793
2182,495875.6619164322
971,145927.8911106986
2611,133049.57269408373
1887,93078.15982910653
2399,346006.94130282186
2148,206098.12634001402
304,129953.32041084822
1997,136080.32168428507
2817,125480.11014381409
1431,225112.2181082746
427,338460.2754326002
263,124904.15895404053
598,180812.9093478155
2895,208196.37227975982
687,124962.16723193307
1822,137010.34196708602
2191,102080.52657972247
179,117632.36573496752
1009,240820.68478146708
2010,130738.81016362217
1991,137728.36420160107
1411,190803.98215649827
1721,243717.55597009487
1144,196767.9270376974
593,206555.5629714594
575,298613.37337812746
1249,170492.7618630408
1604,127935.49792893947
1064,399980.67823198246
1923,152680.68534262775
1988,106853.73569662652
2325,180251.0814570104
114,201087.5333369354
2700,166801.0176599629
217,124119.043607136
343,191586.3009140563
386,216238.2667319253
2005,105232.40652177746
2908,133560.77957360315
1814,208933.55554102286
2446,420092.16849543946
208,143208.7605031273
1679,108930.03190628554
822,303970.99781410844
6,201759.90273412687
1781,360257.415167655
2397,316542.3104710575
2340,303992.92717322847
1618,167864.281667999
2843,142644.76023578388
1061,358078.2219789148
2786,132084.58904321847
1935,133294.9429455859
1341,125631.65913754658
521,266478.86910197476
2136,148540.13453040645
996,202770.79269448965
227,153049.75341807233
